cds;sum_commit;sum_tutti;tasso_commit
[581] GIURISPRUDENZA;701;720;0,973611111
[E1901R] SCIENZE DELL'EDUCAZIONE;280;303;0,924092409
[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;209;231;0,904761905
[E1401A] SCIENZE DEI SERVIZI GIURIDICI;263;292;0,900684932
[E2001R] COMUNICAZIONE INTERCULTURALE;230;257;0,894941634
[E3301M] ECONOMIA E COMMERCIO;197;221;0,891402715
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;188;211;0,890995261
[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;235;266;0,883458647
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE;174;199;0,874371859
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;189;220;0,859090909
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE;116;136;0,852941176
[H4101D] MEDICINA E CHIRURGIA;274;322;0,850931677
[F8501R] SCIENZE PEDAGOGICHE;116;143;0,811188811
[E1601N] SCIENZE DELL'ORGANIZZAZIONE;107;133;0,804511278
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI;108;135;0,8
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE;232;296;0,783783784
[F7601M] ECONOMIA DEL TURISMO;86;110;0,781818182
[F7701M] SCIENZE ECONOMICO-AZIENDALI;101;134;0,753731343
[E4001N] SOCIOLOGIA;107;147;0,727891156
[E3001Q] FISICA;123;170;0,723529412
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE;123;171;0,719298246
[E3101Q] INFORMATICA;103;144;0,715277778
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE;107;150;0,713333333
[F8203B] BIOSTATISTICA;57;80;0,7125
[F1601M] ECONOMIA E FINANZA;74;104;0,711538462
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;127;180;0,705555556
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE;78;112;0,696428571
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE;64;93;0,688172043
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE;114;168;0,678571429
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE;61;91;0,67032967
[E1301Q] SCIENZE BIOLOGICHE;159;239;0,665271967
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE;68;104;0,653846154
[F7702M] MARKETING E MERCATI GLOBALI;69;106;0,650943396
[E0201Q] BIOTECNOLOGIE;127;197;0,644670051
[E2701Q] SCIENZA DEI MATERIALI;91;145;0,627586207
[F0802Q] BIOTECNOLOGIE INDUSTRIALI;84;134;0,626865672
[E3501Q] MATEMATICA;90;144;0,625
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;104;167;0,622754491
[E3002Q] OTTICA E OPTOMETRIA;90;145;0,620689655
[F1701Q] FISICA;99;160;0,61875
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE;65;106;0,613207547
[H4601D] ODONTOIATRIA E PROTESI DENTARIA;79;129;0,612403101
[F1801Q] INFORMATICA;63;105;0,6
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE;37;62;0,596774194
[F0601Q] BIOLOGIA;86;146;0,589041096
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;60;103;0,582524272
[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE;31;54;0,574074074
[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA );39;69;0,565217391
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO);55;98;0,56122449
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA);64;117;0,547008547
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);74;138;0,536231884
[E3901N] SERVIZIO SOCIALE;47;88;0,534090909
[F4001Q] MATEMATICA;49;98;0,5
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O);60;120;0,5
[F8801N] SOCIOLOGIA;33;68;0,485294118
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;46;95;0,484210526
[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI;50;105;0,476190476
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE);28;59;0,474576271
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI;36;76;0,473684211
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;24;51;0,470588235
[F5301Q] SCIENZA DEI MATERIALI;37;79;0,46835443
[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;36;78;0,461538462
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO;17;40;0,425
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE;2;5;0,4
[F0901D] BIOTECNOLOGIE MEDICHE;26;70;0,371428571
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE;20;56;0,357142857
[F7502Q] MARINE SCIENCES - SCIENZE MARINE;14;43;0,325581395
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA);18;58;0,310344828
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA;15;50;0,3
